feature_name;explanation
sellingprice_count_basket;Selling price statistics grouped by user_action
sellingprice_count_favorite;Selling price statistics grouped by user_action
sellingprice_count_order;Selling price statistics grouped by user_action
sellingprice_count_search;Selling price statistics grouped by user_action
sellingprice_count_visit;Selling price statistics grouped by user_action
sellingprice_sum_basket;Selling price statistics grouped by user_action
sellingprice_sum_favorite;Selling price statistics grouped by user_action
sellingprice_sum_order;Selling price statistics grouped by user_action
sellingprice_sum_search;Selling price statistics grouped by user_action
sellingprice_sum_visit;Selling price statistics grouped by user_action
sellingprice_mean_basket;Selling price statistics grouped by user_action
sellingprice_mean_favorite;Selling price statistics grouped by user_action
sellingprice_mean_order;Selling price statistics grouped by user_action
sellingprice_mean_search;Selling price statistics grouped by user_action
sellingprice_mean_visit;Selling price statistics grouped by user_action
sellingprice_median_basket;Selling price statistics grouped by user_action
sellingprice_median_favorite;Selling price statistics grouped by user_action
sellingprice_median_order;Selling price statistics grouped by user_action
sellingprice_median_search;Selling price statistics grouped by user_action
sellingprice_median_visit;Selling price statistics grouped by user_action
sellingprice_min_basket;Selling price statistics grouped by user_action
sellingprice_min_favorite;Selling price statistics grouped by user_action
sellingprice_min_order;Selling price statistics grouped by user_action
sellingprice_min_search;Selling price statistics grouped by user_action
sellingprice_min_visit;Selling price statistics grouped by user_action
sellingprice_max_basket;Selling price statistics grouped by user_action
sellingprice_max_favorite;Selling price statistics grouped by user_action
sellingprice_max_order;Selling price statistics grouped by user_action
sellingprice_max_search;Selling price statistics grouped by user_action
sellingprice_max_visit;Selling price statistics grouped by user_action
sellingprice_count_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_count_Addax;Selling price statistics grouped by brand_name
sellingprice_count_Apple;Selling price statistics grouped by brand_name
sellingprice_count_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_count_Avva;Selling price statistics grouped by brand_name
sellingprice_count_Bambi;Selling price statistics grouped by brand_name
sellingprice_count_Bershka;Selling price statistics grouped by brand_name
sellingprice_count_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_count_DeFacto;Selling price statistics grouped by brand_name
sellingprice_count_Dilvin;Selling price statistics grouped by brand_name
sellingprice_count_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_count_English Home;Selling price statistics grouped by brand_name
sellingprice_count_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_count_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_count_Karaca;Selling price statistics grouped by brand_name
sellingprice_count_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_count_Koton;Selling price statistics grouped by brand_name
sellingprice_count_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_count_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_count_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_count_MUGGO;Selling price statistics grouped by brand_name
sellingprice_count_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_count_Mavi;Selling price statistics grouped by brand_name
sellingprice_count_Nike;Selling price statistics grouped by brand_name
sellingprice_count_Olalook;Selling price statistics grouped by brand_name
sellingprice_count_Oysho;Selling price statistics grouped by brand_name
sellingprice_count_Penti;Selling price statistics grouped by brand_name
sellingprice_count_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_count_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_count_Puma;Selling price statistics grouped by brand_name
sellingprice_count_SOHO;Selling price statistics grouped by brand_name
sellingprice_count_Sateen;Selling price statistics grouped by brand_name
sellingprice_count_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_count_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_count_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_count_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_count_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_count_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_count_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_count_XENA;Selling price statistics grouped by brand_name
sellingprice_count_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_count_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_count_adidas;Selling price statistics grouped by brand_name
sellingprice_count_armonika;Selling price statistics grouped by brand_name
sellingprice_count_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_sum_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_sum_Addax;Selling price statistics grouped by brand_name
sellingprice_sum_Apple;Selling price statistics grouped by brand_name
sellingprice_sum_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_sum_Avva;Selling price statistics grouped by brand_name
sellingprice_sum_Bambi;Selling price statistics grouped by brand_name
sellingprice_sum_Bershka;Selling price statistics grouped by brand_name
sellingprice_sum_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_sum_DeFacto;Selling price statistics grouped by brand_name
sellingprice_sum_Dilvin;Selling price statistics grouped by brand_name
sellingprice_sum_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_sum_English Home;Selling price statistics grouped by brand_name
sellingprice_sum_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_sum_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_sum_Karaca;Selling price statistics grouped by brand_name
sellingprice_sum_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_sum_Koton;Selling price statistics grouped by brand_name
sellingprice_sum_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_sum_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_sum_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_sum_MUGGO;Selling price statistics grouped by brand_name
sellingprice_sum_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_sum_Mavi;Selling price statistics grouped by brand_name
sellingprice_sum_Nike;Selling price statistics grouped by brand_name
sellingprice_sum_Olalook;Selling price statistics grouped by brand_name
sellingprice_sum_Oysho;Selling price statistics grouped by brand_name
sellingprice_sum_Penti;Selling price statistics grouped by brand_name
sellingprice_sum_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_sum_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_sum_Puma;Selling price statistics grouped by brand_name
sellingprice_sum_SOHO;Selling price statistics grouped by brand_name
sellingprice_sum_Sateen;Selling price statistics grouped by brand_name
sellingprice_sum_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_sum_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_sum_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_sum_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_sum_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_sum_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_sum_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_sum_XENA;Selling price statistics grouped by brand_name
sellingprice_sum_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_sum_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_sum_adidas;Selling price statistics grouped by brand_name
sellingprice_sum_armonika;Selling price statistics grouped by brand_name
sellingprice_sum_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_mean_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_mean_Addax;Selling price statistics grouped by brand_name
sellingprice_mean_Apple;Selling price statistics grouped by brand_name
sellingprice_mean_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_mean_Avva;Selling price statistics grouped by brand_name
sellingprice_mean_Bambi;Selling price statistics grouped by brand_name
sellingprice_mean_Bershka;Selling price statistics grouped by brand_name
sellingprice_mean_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_mean_DeFacto;Selling price statistics grouped by brand_name
sellingprice_mean_Dilvin;Selling price statistics grouped by brand_name
sellingprice_mean_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_mean_English Home;Selling price statistics grouped by brand_name
sellingprice_mean_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_mean_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_mean_Karaca;Selling price statistics grouped by brand_name
sellingprice_mean_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_mean_Koton;Selling price statistics grouped by brand_name
sellingprice_mean_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_mean_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_mean_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_mean_MUGGO;Selling price statistics grouped by brand_name
sellingprice_mean_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_mean_Mavi;Selling price statistics grouped by brand_name
sellingprice_mean_Nike;Selling price statistics grouped by brand_name
sellingprice_mean_Olalook;Selling price statistics grouped by brand_name
sellingprice_mean_Oysho;Selling price statistics grouped by brand_name
sellingprice_mean_Penti;Selling price statistics grouped by brand_name
sellingprice_mean_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_mean_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_mean_Puma;Selling price statistics grouped by brand_name
sellingprice_mean_SOHO;Selling price statistics grouped by brand_name
sellingprice_mean_Sateen;Selling price statistics grouped by brand_name
sellingprice_mean_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_mean_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_mean_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_mean_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_mean_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_mean_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_mean_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_mean_XENA;Selling price statistics grouped by brand_name
sellingprice_mean_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_mean_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_mean_adidas;Selling price statistics grouped by brand_name
sellingprice_mean_armonika;Selling price statistics grouped by brand_name
sellingprice_mean_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_median_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_median_Addax;Selling price statistics grouped by brand_name
sellingprice_median_Apple;Selling price statistics grouped by brand_name
sellingprice_median_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_median_Avva;Selling price statistics grouped by brand_name
sellingprice_median_Bambi;Selling price statistics grouped by brand_name
sellingprice_median_Bershka;Selling price statistics grouped by brand_name
sellingprice_median_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_median_DeFacto;Selling price statistics grouped by brand_name
sellingprice_median_Dilvin;Selling price statistics grouped by brand_name
sellingprice_median_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_median_English Home;Selling price statistics grouped by brand_name
sellingprice_median_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_median_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_median_Karaca;Selling price statistics grouped by brand_name
sellingprice_median_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_median_Koton;Selling price statistics grouped by brand_name
sellingprice_median_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_median_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_median_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_median_MUGGO;Selling price statistics grouped by brand_name
sellingprice_median_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_median_Mavi;Selling price statistics grouped by brand_name
sellingprice_median_Nike;Selling price statistics grouped by brand_name
sellingprice_median_Olalook;Selling price statistics grouped by brand_name
sellingprice_median_Oysho;Selling price statistics grouped by brand_name
sellingprice_median_Penti;Selling price statistics grouped by brand_name
sellingprice_median_Pierre Cardin;Selling price statistics grouped by brand_name
sellingprice_median_Pull & Bear;Selling price statistics grouped by brand_name
sellingprice_median_Puma;Selling price statistics grouped by brand_name
sellingprice_median_SOHO;Selling price statistics grouped by brand_name
sellingprice_median_Sateen;Selling price statistics grouped by brand_name
sellingprice_median_Stradivarius;Selling price statistics grouped by brand_name
sellingprice_median_TRENDYOL MAN;Selling price statistics grouped by brand_name
sellingprice_median_TRENDYOLMİLLA;Selling price statistics grouped by brand_name
sellingprice_median_Terapi Men;Selling price statistics grouped by brand_name
sellingprice_median_Tonny Black;Selling price statistics grouped by brand_name
sellingprice_median_Trend Alaçatı Stili;Selling price statistics grouped by brand_name
sellingprice_median_U.S. Polo Assn.;Selling price statistics grouped by brand_name
sellingprice_median_XENA;Selling price statistics grouped by brand_name
sellingprice_median_Xiaomi;Selling price statistics grouped by brand_name
sellingprice_median_Yaya  by Hotiç;Selling price statistics grouped by brand_name
sellingprice_median_adidas;Selling price statistics grouped by brand_name
sellingprice_median_armonika;Selling price statistics grouped by brand_name
sellingprice_median_other_brand_name;Selling price statistics grouped by brand_name
sellingprice_min_ALTINYILDIZ CLASSICS;Selling price statistics grouped by brand_name
sellingprice_min_Addax;Selling price statistics grouped by brand_name
sellingprice_min_Apple;Selling price statistics grouped by brand_name
sellingprice_min_Aqua Di Polo 1987;Selling price statistics grouped by brand_name
sellingprice_min_Avva;Selling price statistics grouped by brand_name
sellingprice_min_Bambi;Selling price statistics grouped by brand_name
sellingprice_min_Bershka;Selling price statistics grouped by brand_name
sellingprice_min_Cool & Sexy;Selling price statistics grouped by brand_name
sellingprice_min_DeFacto;Selling price statistics grouped by brand_name
sellingprice_min_Dilvin;Selling price statistics grouped by brand_name
sellingprice_min_Elle Shoes;Selling price statistics grouped by brand_name
sellingprice_min_English Home;Selling price statistics grouped by brand_name
sellingprice_min_HUMMEL;Selling price statistics grouped by brand_name
sellingprice_min_Happiness İst.;Selling price statistics grouped by brand_name
sellingprice_min_Karaca;Selling price statistics grouped by brand_name
sellingprice_min_Kitchen Life;Selling price statistics grouped by brand_name
sellingprice_min_Koton;Selling price statistics grouped by brand_name
sellingprice_min_Koton Kids;Selling price statistics grouped by brand_name
sellingprice_min_LC Waikiki;Selling price statistics grouped by brand_name
sellingprice_min_MANGO Woman;Selling price statistics grouped by brand_name
sellingprice_min_MUGGO;Selling price statistics grouped by brand_name
sellingprice_min_Madame Coco;Selling price statistics grouped by brand_name
sellingprice_min_Mavi;Selling price statistics grouped by brand_name
